date,customerID,productID,payment,amount
2017-04-29,13582,88744,cash,2
2017-06-11,45708,16105,credit card,3
2017-12-07,85419,93187,cash,2
2017-01-16,64292,8403,paypal,3
2017-08-16,41174,7234,paypal,3
2017-08-02,99042,57590,credit card,3
2017-10-26,49737,32738,paypal,3
2017-03-06,66361,41910,credit card,3
2017-11-24,24021,70159,cash,2
2017-02-13,78762,2002,cash,2
2017-07-18,79148,86205,credit card,1
2017-04-08,81337,15915,cash,1
2017-02-19,63467,8081,cash,2
2017-08-23,79148,40784,cash,3
2017-11-06,23090,16224,paypal,3
2017-04-12,14184,39548,cash,2
2017-09-28,12307,82560,credit card,2
2017-04-19,45757,27578,credit card,1
2017-07-22,3076,9456,credit card,1
2017-09-26,13608,99445,paypal,3
2017-07-17,11643,27044,cash,3
2017-04-25,85997,96506,cash,3
2017-06-12,23243,2002,paypal,1
2017-06-27,83043,25031,credit card,1
2017-05-16,55742,24221,credit card,3
2017-02-04,67151,7234,credit card,1
2017-09-14,39095,27410,credit card,2
2017-10-23,69014,86205,cash,1
2017-10-26,57762,34082,cash,3
2017-04-22,71202,79271,credit card,3
2017-11-19,67178,99445,paypal,1
2017-07-21,26120,9947,cash,3
2017-06-30,28092,86064,cash,3
2017-05-10,69141,25426,paypal,1
2017-07-18,3516,87212,credit card,1
2017-07-03,10857,34082,cash,1
2017-12-28,22916,81136,cash,1
2017-01-06,4722,2002,paypal,1
2017-02-07,32340,41910,paypal,1
2017-02-10,74834,79954,paypal,3
2017-04-05,86965,18233,paypal,2
2017-01-05,67477,19920,paypal,2
2017-04-23,91292,85931,cash,2
2017-07-25,29227,86205,paypal,2
2017-08-20,26969,91230,cash,1
2017-01-05,9411,78483,paypal,2
2017-10-27,59989,51943,credit card,1
2017-03-29,1108,18541,paypal,1
2017-09-08,63692,75593,credit card,1
2017-03-30,62608,55593,cash,2
2017-10-17,88314,27188,paypal,2
2017-04-17,90231,26358,paypal,1
2017-09-13,80017,81136,paypal,2
2017-01-26,13024,29656,paypal,2
2017-06-17,26008,87000,credit card,1
2017-12-17,15844,39548,paypal,2
2017-11-04,85894,32310,credit card,1
2017-07-23,48544,35165,credit card,1
2017-08-23,24221,72114,paypal,3
2017-09-13,45175,86064,cash,1
2017-12-27,52254,14289,paypal,2
2017-01-03,41521,43107,credit card,3
2017-07-02,16136,9072,paypal,3
2017-06-10,4567,18541,credit card,1
2017-04-28,9999,87000,cash,2
2017-06-21,69684,34082,cash,1
2017-08-04,2065,27410,paypal,2
2017-12-04,76025,96506,paypal,2
2017-03-18,39095,78483,credit card,1
2017-12-28,15388,53216,cash,3
2017-09-01,79896,87212,paypal,1
2017-02-05,1125,43446,credit card,3
2017-03-11,23090,85156,paypal,2
2017-06-11,89220,16224,credit card,2
2017-09-10,86275,87000,paypal,3
2017-11-26,75271,15915,cash,1
2017-06-02,53012,76290,paypal,1
2017-10-03,7901,96001,paypal,3
2017-06-15,89505,39369,credit card,1
2017-10-21,10074,42029,cash,1
2017-08-24,52073,55593,paypal,2
2017-04-02,41521,8632,credit card,1
2017-03-03,31101,28088,credit card,1
2017-11-10,34499,26358,credit card,3
2017-01-22,17856,25426,paypal,2
2017-05-28,15689,27578,credit card,2
2017-09-07,55974,81165,credit card,1
2017-06-17,92556,88698,cash,3
2017-10-04,90007,9072,paypal,3
2017-09-23,37480,25426,paypal,2
2017-10-09,97708,38582,cash,1
2017-12-16,99925,85156,cash,1
2017-08-29,19337,8081,paypal,1
2017-04-11,6709,85702,cash,3
2017-05-08,60045,34187,credit card,3
2017-08-04,53396,55596,paypal,3
2017-11-07,73164,87000,paypal,1
2017-01-12,30596,11138,cash,3
2017-07-22,91370,88698,cash,3
2017-01-10,20221,89266,cash,1
2017-08-08,99138,34187,cash,1
2017-07-08,73310,86205,credit card,3
2017-10-14,17358,51943,paypal,3
2017-08-09,60045,43446,paypal,1
2017-01-30,88364,37269,cash,1
2017-05-29,89339,82560,paypal,1
2017-06-27,34875,26358,credit card,3
2017-11-22,44468,79271,paypal,1
2017-10-05,4965,86064,cash,1
2017-05-27,35461,86205,cash,3
2017-03-16,67570,8632,cash,1
2017-03-03,27845,34187,credit card,3
2017-06-30,15149,43446,paypal,3
2017-10-14,31347,32128,cash,3
2017-12-02,70943,18541,credit card,2
2017-06-14,20062,27578,credit card,3
2017-10-04,19698,86205,cash,2
2017-06-28,18802,48174,credit card,3
2017-01-16,6073,81165,paypal,3
2017-01-17,35044,85702,credit card,3
2017-04-22,10857,85702,cash,2
2017-02-26,7901,64983,paypal,3
2017-07-28,71659,26358,credit card,1
2017-04-08,33163,14099,paypal,2
2017-07-22,40625,18541,credit card,1
2017-03-05,72399,15915,cash,2
2017-04-22,76212,75775,cash,1
2017-07-12,19699,88744,cash,3
2017-11-14,37932,16224,credit card,1
2017-10-25,99765,64983,cash,1
2017-12-22,28150,51943,cash,2
2017-08-10,29389,19920,cash,3
2017-12-15,26276,29552,credit card,2
2017-07-27,32689,26358,cash,2
2017-11-11,57691,32738,paypal,1
2017-07-20,82849,70159,credit card,3
2017-12-14,99042,85931,paypal,1
2017-12-05,53012,19920,cash,1
2017-01-11,35799,96506,cash,3
2017-08-09,18709,81136,credit card,2
2017-07-30,69961,40784,cash,1
2017-02-02,81020,51943,credit card,2
2017-08-09,62515,29656,cash,1
2017-10-02,79567,34187,paypal,3
2017-09-17,27397,32738,credit card,2
2017-08-29,35010,81136,cash,3
2017-02-06,46384,41910,credit card,3
2017-05-19,31767,91230,credit card,1
2017-10-25,80720,79954,cash,2
2017-06-01,30100,27410,paypal,1
2017-01-06,99306,60230,cash,3
2017-01-04,53396,34413,paypal,1
2017-03-20,35044,62077,cash,2
2017-08-06,22015,43446,cash,1
2017-10-15,40068,35165,credit card,2
2017-04-27,74970,13013,credit card,1
2017-05-29,43722,27044,credit card,1
2017-05-28,69065,25031,credit card,1
2017-10-10,3746,28088,credit card,2
2017-11-19,57425,70159,cash,2
2017-08-12,6600,38582,paypal,3
2017-10-09,71659,18233,credit card,1
2017-10-12,23243,96001,paypal,3
2017-02-24,45175,41910,cash,2
2017-08-08,71651,34187,credit card,3
2017-09-21,24857,9072,paypal,2
2017-04-29,31747,81136,cash,2
2017-02-01,72173,60230,credit card,3
2017-10-25,48713,42029,paypal,1
2017-08-01,92411,28440,credit card,3
2017-02-02,6720,32128,paypal,3
2017-01-20,69684,14289,paypal,3
2017-05-04,91650,15915,paypal,3
2017-10-04,50789,47613,credit card,2
2017-08-24,92882,29552,cash,1
2017-03-13,45059,9456,paypal,1
2017-02-15,32754,96506,cash,3
2017-05-05,32056,60230,paypal,2
2017-03-15,75106,60230,cash,1
2017-08-12,1625,15915,credit card,2
2017-05-22,52991,91230,credit card,3
2017-04-13,44522,32310,credit card,3
2017-01-24,4698,99445,cash,1
2017-10-29,51385,15918,cash,2
2017-01-13,23857,16224,cash,2
2017-02-22,5511,37269,cash,1
2017-08-03,70252,8403,cash,2
2017-01-31,56078,10130,credit card,2
2017-09-05,23983,85931,cash,1
2017-09-27,9411,34082,cash,1
2017-10-11,32340,8632,credit card,1
2017-10-24,17839,19920,paypal,2
2017-11-09,68328,40784,cash,2
2017-06-04,99925,60230,paypal,1
2017-04-20,59515,43446,paypal,2
2017-09-09,15149,35165,paypal,1
2017-09-07,40625,9072,cash,3
2017-12-25,44522,8081,credit card,2
2017-12-25,62455,64983,cash,1
2017-03-25,93317,9072,credit card,1
2017-02-11,88404,62077,cash,1
2017-12-07,25377,34082,credit card,1
2017-05-24,26008,34187,paypal,2
2017-06-02,84115,76290,paypal,3
2017-02-09,5436,15847,credit card,2
2017-05-09,53372,79271,cash,2
2017-02-27,41174,86064,credit card,3
2017-09-29,61290,40784,paypal,2
2017-05-19,40068,14289,cash,3
2017-08-10,48713,79954,cash,3
2017-04-24,51203,25031,cash,2
2017-06-11,57425,39369,credit card,1
2017-03-22,26276,86064,credit card,2
2017-04-19,81289,29552,cash,2
2017-09-25,3415,8081,credit card,3
2017-02-18,10710,43446,paypal,2
2017-01-08,49887,50304,credit card,1
2017-12-01,14184,27044,credit card,2
2017-03-08,4682,38582,credit card,3
2017-10-13,83043,10130,paypal,1
2017-03-02,92695,15847,credit card,1
2017-05-11,93226,54910,paypal,1
2017-12-16,87539,16224,cash,3
2017-07-29,48769,27410,credit card,2
2017-04-24,47133,60230,credit card,3
2017-09-25,78795,18233,cash,1
2017-12-22,13639,24221,credit card,1
