Datum,Kundennummer,Produkt,Zahlungsmethode,Stückzahl
2017-08-25,79308,50304,Bar,1
2017-03-16,85445,76290,Kreditkarte,3
2017-06-18,34301,15847,Kreditkarte,2
2017-06-16,41106,28440,Kreditkarte,2
2017-12-15,20682,50304,Bar,3
2017-10-29,7941,88744,Bar,1
2017-01-02,77950,53216,Kreditkarte,1
2017-03-24,82136,47613,paypal,3
2017-11-24,81287,9072,paypal,2
2017-01-07,65617,75593,Kreditkarte,2
2017-06-04,65617,40784,Bar,2
2017-07-26,37096,79954,Bar,3
2017-06-18,99458,37524,paypal,1
2017-01-07,54828,53216,Kreditkarte,1
2017-07-19,4182,34082,paypal,1
2017-07-25,3406,32738,Kreditkarte,1
2017-09-15,95509,64983,Bar,2
2017-01-14,21324,85931,paypal,2
2017-10-12,76315,88744,paypal,3
2017-08-14,44031,40784,paypal,1
2017-03-28,21592,34187,Kreditkarte,3
2017-01-20,87124,54910,paypal,3
2017-06-20,32219,50304,paypal,3
2017-02-07,80882,60230,Bar,2
2017-03-29,26126,28440,Bar,2
2017-03-24,21324,60230,Bar,1
2017-05-14,4523,27410,Bar,3
2017-08-03,46920,75593,Kreditkarte,3
2017-04-14,43524,25426,Kreditkarte,3
2017-09-18,76315,27188,paypal,1
2017-08-12,99458,60230,Kreditkarte,2
2017-08-07,19475,43446,Kreditkarte,2
2017-02-21,89235,37524,paypal,1
2017-05-27,3819,37524,paypal,2
2017-11-27,31314,54910,Bar,2
2017-01-06,73826,78483,Bar,1
2017-07-08,59461,39548,Bar,1
2017-05-15,67666,55596,Kreditkarte,1
2017-11-05,42783,22826,paypal,3
2017-05-04,5330,65762,Kreditkarte,1
2017-07-20,62181,16224,paypal,2
2017-03-13,93528,72114,Kreditkarte,1
2017-07-08,40570,38582,Kreditkarte,3
2017-05-01,88936,41910,Kreditkarte,2
2017-01-17,6933,57590,paypal,3
2017-11-29,80882,85931,Bar,1
2017-12-29,22258,27044,paypal,2
2017-09-29,19189,54910,paypal,3
2017-02-22,93558,72230,paypal,3
2017-09-09,95068,34082,paypal,3
2017-08-16,83689,87000,Bar,1
2017-07-01,57445,34187,Kreditkarte,1
2017-06-14,92401,29552,Bar,1
2017-04-20,52659,27188,paypal,1
2017-11-26,80845,41910,Bar,1
2017-10-24,44292,25031,Bar,1
2017-06-30,18378,34719,paypal,1
2017-11-01,20905,85156,Kreditkarte,1
2017-12-12,69927,75775,Bar,3
2017-05-13,57445,25426,paypal,1
2017-04-30,29770,2002,Bar,2
2017-03-23,5330,70159,Bar,2
2017-04-01,56947,86205,Bar,2
2017-10-16,73551,35165,Bar,2
2017-06-08,73826,18541,paypal,1
2017-03-06,71333,53216,Bar,3
2017-01-30,56442,10130,Kreditkarte,1
2017-04-01,4033,28088,paypal,1
2017-03-10,48458,48174,paypal,1
2017-10-19,65050,72114,Kreditkarte,3
2017-03-26,32764,85702,Kreditkarte,3
2017-04-01,93064,88744,Bar,1
2017-06-20,34203,88698,paypal,3
2017-09-30,99390,50304,paypal,2
2017-06-09,95966,42029,Kreditkarte,1
2017-01-29,58971,61070,paypal,2
2017-08-04,28121,96506,Kreditkarte,1
2017-03-03,60307,93187,paypal,2
2017-08-15,52837,10130,Kreditkarte,1
2017-12-01,3912,16105,paypal,2
2017-01-06,78085,79954,Bar,1
2017-09-10,81851,34719,Bar,1
2017-01-13,8967,44726,paypal,1
2017-05-24,90409,8632,Kreditkarte,3
2017-02-08,25049,35165,Kreditkarte,3
2017-07-20,92135,78483,Bar,3
2017-11-28,22430,18541,Bar,1
2017-07-11,18378,43107,paypal,3
2017-05-01,31314,19920,Kreditkarte,1
2017-06-29,61515,62077,Bar,1
2017-04-13,42251,78934,Kreditkarte,1
2017-03-23,95068,8081,paypal,3
2017-02-18,5217,96506,Kreditkarte,2
2017-02-28,47160,13013,Bar,3
2017-10-05,69509,22538,Kreditkarte,1
2017-06-06,21534,27578,Bar,2
2017-07-04,41730,88744,Kreditkarte,1
2017-10-10,48569,65762,Kreditkarte,1
2017-07-03,21592,10130,Bar,3
2017-01-02,7096,39369,paypal,1
2017-10-07,78085,82560,Bar,1
2017-11-06,82906,75593,Kreditkarte,2
2017-06-23,75871,17731,Kreditkarte,1
2017-09-14,85359,39548,paypal,2
2017-09-05,8626,16224,paypal,3
2017-06-27,60401,10130,Kreditkarte,2
2017-08-26,81287,25426,Bar,3
2017-03-22,22611,9456,paypal,3
2017-08-19,86289,32128,paypal,2
2017-04-30,95955,75593,Kreditkarte,1
2017-06-27,91559,24221,Bar,1
2017-03-07,7941,16105,Kreditkarte,2
2017-12-20,26042,15915,paypal,1
2017-10-06,87513,24221,paypal,3
2017-12-10,59089,22538,Kreditkarte,1
2017-10-26,3912,79271,paypal,1
2017-03-01,75333,28440,Kreditkarte,1
2017-10-28,11628,7234,Bar,1
2017-08-27,5217,42819,Bar,2
2017-08-21,73390,28440,Bar,2
2017-02-13,59089,78934,Kreditkarte,2
2017-05-13,86289,76290,Kreditkarte,2
2017-02-11,22611,96506,Bar,3
2017-03-19,29097,85931,Bar,3
2017-04-30,63638,60230,paypal,3
2017-02-03,4426,75775,Kreditkarte,2
2017-10-27,99458,25031,Kreditkarte,1
2017-09-20,60290,9785,Bar,1
2017-12-28,68582,32128,paypal,3
2017-08-31,52446,9456,Bar,1
2017-08-04,47268,9456,Bar,2
2017-12-02,14042,28088,Kreditkarte,2
2017-03-04,82136,24221,Kreditkarte,3
2017-04-05,80362,43107,paypal,2
2017-06-25,97073,81136,Kreditkarte,3
2017-02-26,75100,8081,Bar,3
2017-01-26,70944,79271,Bar,1
2017-05-15,67004,27578,paypal,3
2017-12-09,65617,26358,paypal,2
2017-06-18,5330,14099,Kreditkarte,3
2017-03-28,82696,18541,Kreditkarte,3
2017-02-18,78074,14099,Bar,1
2017-08-28,2124,48174,paypal,2
2017-06-22,64577,53216,Bar,1
2017-02-06,42783,27188,paypal,2
2017-04-28,93266,32738,paypal,2
2017-03-09,61515,34413,Kreditkarte,3
2017-11-19,60516,85931,Kreditkarte,3
2017-09-18,92826,79954,Bar,1
2017-10-12,92826,60974,paypal,3
2017-08-10,44031,72230,Bar,1
2017-01-04,19189,39369,Bar,3
2017-10-06,95068,34082,paypal,1
2017-03-12,47268,76290,paypal,3
2017-11-05,57454,22826,Bar,2
2017-07-11,9815,32738,Bar,2
2017-11-03,59089,25426,Bar,2
2017-01-19,87124,76290,paypal,1
2017-05-10,79308,32738,Bar,1
2017-11-12,21324,22826,Bar,2
2017-07-16,44409,72230,Kreditkarte,3
2017-07-27,39198,19920,Kreditkarte,3
2017-11-03,40615,64983,Bar,3
2017-10-17,95966,60230,Kreditkarte,2
2017-05-08,5413,27410,paypal,2
2017-10-27,48640,13013,Kreditkarte,3
2017-10-22,59461,99445,Kreditkarte,2
2017-04-12,92135,96001,paypal,3
2017-02-20,41106,27044,Kreditkarte,2
2017-09-05,16701,51943,Kreditkarte,2
2017-08-10,60290,41910,Kreditkarte,3
2017-06-18,62181,15847,Bar,2
2017-04-15,18804,43107,Bar,1
2017-12-13,2693,70159,Bar,2
2017-06-17,52446,42029,Kreditkarte,1
2017-03-26,17460,32310,Kreditkarte,2
2017-11-15,20682,85702,paypal,2
2017-04-08,53031,51943,paypal,2
2017-07-07,92404,7234,paypal,3
2017-11-05,26042,78483,paypal,1
2017-03-29,26797,8403,Kreditkarte,3
